wohnquartier;bestand_in_nichtwohngebaeuden;bestand_in_wohngebaeuden_insgesamt;wohnflaeche_je_wohnung;bestand_in_wohngebaeuden_mit_bj_vor_1949;bestand_in_wohngebaeuden_mit_bj_1949_bis_1969;bestand_in_wohngebaeuden_mit_bj_1970_bis_1989;bestand_in_wohngebaeuden_mit_bj_nach_1990;bestand_in_ezfh_insgesamt;bestand_in_ezfh_mit_bj_vor_1949;bestand_in_ezfh_mit_bj_1949_bis_1969;bestand_in_ezfh_mit_bj_1970_bis_1989;bestand_in_ezfh_mit_bj_nach_1990;bestand_in_in_mfh_insgesamt;bestand_in_mfh_mit_bj_vor_1949;bestand_in_mfh_mit_bj_1949_bis_1969;bestand_in_mfh_mit_bj_1970_bis_1989;bestand_in_mfh_mit_bj_nach_1990;durchschnittlicher_bestand_je_wohngebaeude
73004;;442;115,79;89;102;174;77;132;54;49;15;14;310;35;53;159;63;2,7
73005;4;858;100,88;63;400;126;269;302;21;109;52;120;556;42;291;74;149;2,5
74001;;224;109,01;15;105;103;;201;8;96;96;;23;7;9;7;;1,2
74002;25;554;147,43;113;151;184;106;352;59;95;122;76;202;54;56;62;30;1,7
75001;;961;86,01;7;379;472;103;194;4;48;138;4;767;3;331;334;99;3,4
81001;63;709;61,01;510;127;48;24;81;43;27;9;;628;467;100;39;22;4,5
81002;11;922;76,92;156;510;190;66;261;59;158;19;25;661;97;352;171;41;2,7
81003;19;741;66,72;79;493;155;14;85;14;44;21;6;656;65;449;134;8;4,8
81004;28;1865;61,63;442;777;151;495;36;31;3;;;1829;411;774;150;494;7,6
81005;52;1176;62,28;491;460;203;22;;;;;;1175;490;460;203;22;8,4
82001;22;1710;65,2;490;826;223;171;105;88;17;;;1605;402;809;223;171;5,5
82002;14;752;72,78;315;223;160;54;182;148;20;;14;570;167;203;160;40;3,5
82003;;786;67,73;0;58;728;0;37;;36;;;749;;22;727;;7,3
82004;15;904;88,13;69;527;236;72;529;48;399;46;36;375;21;128;190;36;2,1
82005;7;444;88,73;100;157;149;38;207;71;74;24;38;237;29;83;125;;2,2
82006;20;769;86,51;104;417;205;43;395;79;225;68;23;374;25;192;137;20;2,1
82007;;;;;;;;;;;;;;;;;;
82008;;;;;;;;;;;;;;;;;;
